cijena,stanje,broj_kvadrata,sprat,namjesten,broj_soba,grijanje
799000,0,168,4,0,3,1
69000,0,39,4,0,1,2
74000,1,43,4,0,2,2
88000,0,47,4,0,1.5,2
91000,0,56,4,0,2,2
91000,0,39,4,0,1,2
95000,0,77,4,0,3,2
96000,0,52,4,0,2,2
105000,0,69,4,0,3,2
105000,0,69,4,0,3,2
109000,0,48,4,0,2,2
110000,0,45,4,0,2,2
110000,0,57,4,0,2,2
110000,0,60,4,0,2,2
113000,0,54,4,0,2,2
115000,0,50,4,0,2,2
116000,0,54,4,0,2,2
116000,0,54,4,0,2,2
116000,0,54,4,0,2,2
116000,0,54,4,0,2,2
118000,0,51,4,0,2,2
119000,0,56,4,0,2,2
119000,0,63,4,0,2,2
124000,0,54,4,0,2,2
124000,0,54,4,0,2,2
124200,0,54,4,0,2,2
124200,0,54,4,0,2,2
125000,0,61,4,0,2,2
127000,0,78,4,0,4,2
130000,0,58,4,0,3,2
149900,0,80,4,0,3,2
155000,0,74,4,0,3,2
155000,0,74,4,0,3,2
155000,0,58,4,0,2,2
155000,0,58,4,0,2,2
155000,0,58,4,0,2,2
164900,0,66,4,0,3,2
180000,0,69,4,0,3,2
209000,0,70,4,0,3,2
215000,0,72,4,0,3,2
239000,0,81,4,0,4,2
370000,0,128,4,0,4,2
384000,0,128,4,0,4,2
390000,0,130,4,0,4,2
420000,0,125,4,0,5,2
420000,0,125,4,0,5,2
450000,0,125,4,0,5,2
480000,0,160,4,0,4,2
75000,0,40,4,0,1,3
83000,1,37,4,0,0,3
111000,0,88,4,0,3,3
116000,0,54,4,0,2,3
118000,0,51,4,0,2,3
118000,0,51,4,0,2,3
118000,1,54,4,0,2,3
118000,0,54,4,0,2,3
118750,0,52,4,0,2,3
119000,0,51,4,0,2,3
120000,1,51,4,0,2,3
152068,1,71,4,0,3,3
103000,0,72,4,0,3,4
103000,0,72,4,0,3,4
113900,0,92,4,0,4,4
119000,0,45,4,0,2,4
165000,0,56,4,0,2,4
165000,1,56,4,0,2,4
165000,0,56,4,0,2,4
165000,0,57,4,0,2,4
165000,0,57,4,0,2,4
165000,0,57,4,0,2,4
165000,0,57,4,0,2,4
165000,0,70,4,0,2,4
165300,0,87,4,0,4,4
205000,0,57,4,0,3,4
450000,0,150,4,0,4,5
83000,1,44,5,0,1,1
95000,0,46,5,0,2,1
114000,0,57,5,0,3,1
129000,0,60,5,0,2,1
140000,0,63,5,0,2,1
150000,0,62,5,0,3,1
162776,1,75,5,0,3,1
165000,0,73,5,0,3,1
169000,0,85,5,0,3,1
170000,0,110,5,0,4,1
175000,0,69,5,0,3,1
175000,0,70,5,0,3,1
255000,0,84,5,0,2,1
260000,0,141,5,0,4,1
269000,0,112,5,0,4,1
288500,0,87,5,0,3,1
300000,0,90,5,0,3,1
320000,0,89,5,0,4,1
336000,0,112,5,0,3,1
340000,0,143,5,0,3,1
75000,0,34,5,0,1,2
76500,1,45,5,0,2,2
78000,0,34,5,0,1,2
93000,0,40,5,0,1,2
93500,0,47,5,0,1.5,2
98500,0,55,5,0,2,2
99000,0,55,5,0,2,2
99500,0,55,5,0,2,2
110000,0,101,5,0,4,2
110000,0,47,5,0,2,2
120000,0,109,5,0,4,2
129000,0,69,5,0,3,2
129000,0,56,5,0,2,2
129900,0,65,5,0,3,2
130000,0,55,5,0,2,2
139900,0,44,5,0,2,2
139900,0,44,5,0,2,2
147000,0,71,5,0,3,2
167500,0,67,5,0,3,2
169000,0,83,5,0,3,2
172500,0,67,5,0,2,2
176000,0,51,5,0,2,2
179000,0,51,5,0,2,2
240000,0,112,5,0,5,2
243000,0,108,5,0,4,2
320000,0,88,5,0,4,2
390000,0,103,5,0,4,2
402000,0,103,5,0,4,2
64000,0,27,5,0,0,3
86000,0,43,5,0,1.5,3
89900,1,35,5,0,2,3
89900,1,35,5,0,1.5,3
91000,0,35,5,0,1.5,3
100000,0,52,5,0,2,3
103950,1,49,5,0,2,3
