cijena,stanje,lokacija,broj_kvadrata,sprat,namjesten,broj_soba,grijanje
235000,0,Opcina Centar,87,3,0,4,2
273000,0,Opcina Centar,83,3,0,3,2
450000,0,Opcina Centar,154,3,0,5,2
470000,0,Opcina Centar,125,3,0,5,2
69190,1,Novi Grad,47,3,0,2,3
74000,1,Novi Grad,74,3,0,2,3
77000,1,Ilidza,30,3,0,2,3
77999,1,Vogosca,42,3,0,2,3
86802,1,Novi Grad,44,3,0,0,3
105145,1,Novi Grad,85,3,0,3,3
110252,1,Ilidza,54,3,0,2,3
128000,0,Novi Grad,69,3,0,3,3
43600,1,Ilidza,23,3,0,0,4
75000,1,Vogosca,43,3,0,3,4
85000,0,Stari Grad,50,3,0,2,4
89000,0,Stari Grad,70,3,0,3,4
93000,1,Vogosca,59,3,0,3,4
105000,0,Vogosca,62,3,0,3,4
105000,0,Vogosca,63,3,0,3,4
120000,0,Vogosca,65,3,0,3,4
121000,0,Novo Sarajevo,56,3,0,2,4
147520,1,Novo Sarajevo,76,3,0,3,4
155000,0,Opcina Centar,55,3,0,2,4
195000,0,Novo Sarajevo,90,3,0,3,4
226750,1,Ilidza,84,3,0,3,4
93000,1,Vogosca,62,3,0,2,5
95000,0,Novi Grad,70,3,0,3,5
120000,0,Vogosca,65,3,0,3,5
139000,1,Vogosca,95,3,0,3,5
325000,0,Opcina Centar,130,3,0,3,5
65212,0,Trnovo,33,4,0,1,1
99000,0,Ilidza,58,4,0,3,1
107000,0,Ilidza,50,4,0,2,1
108000,0,Novo Sarajevo,50,4,0,2,1
115000,0,Novo Sarajevo,55,4,0,2,1
125000,0,Novi Grad,70,4,0,3,1
125000,0,Novi Grad,70,4,0,3,1
125000,0,Novi Grad,70,4,0,3,1
125000,0,Stari Grad,49,4,0,2,1
125000,0,Stari Grad,49,4,0,2,1
129000,0,Opcina Centar,60,4,0,3,1
129000,0,Novo Sarajevo,53,4,0,2,1
130000,0,Novo Sarajevo,60,4,0,3,1
130000,0,Vogosca,75,4,0,3,1
133000,0,Novo Sarajevo,60,4,0,3,1
144702,1,Novi Grad,60,4,0,2,1
155000,0,Opcina Centar,55,4,0,2,1
158000,0,Vogosca,122,4,0,3,1
160000,1,Novi Grad,82,4,0,3,1
165000,0,Novo Sarajevo,56,4,0,2,1
169000,0,Opcina Centar,83,4,0,4,1
170000,0,Opcina Centar,56,4,0,2,1
174300,1,Ilidza,83,4,0,3,1
180000,0,Opcina Centar,67,4,0,3,1
188000,1,Novi Grad,82,4,0,3,1
189000,0,Opcina Centar,80,4,0,3,1
199000,0,Opcina Centar,80,4,0,3,1
215000,0,Stari Grad,66,4,0,3,1
220000,0,Opcina Centar,81,4,0,3,1
230000,1,Novi Grad,105,4,0,5,1
230000,0,Ilidza,102,4,0,3,1
245000,0,Opcina Centar,104,4,0,4,1
249999,0,Opcina Centar,98,4,0,4,1
260000,0,Stari Grad,96,4,0,4,1
260000,0,Opcina Centar,84,4,0,3,1
